0_60_time,year,manufacturer,model
13.8,1975,JEEP,JEEP CHEROKEE SPORT 2-DOOR 4X4
18.4,1977,JEEP,JEEP CHEROKEE CHIEF 4X4
10.5,1990,JEEP,JEEP CHEROKEE LAREDO 4X4
10.5,1996,JEEP,JEEP CHEROKEE SE 4X4
8.2,1996,JEEP,JEEP CHEROKEE SPORT 4X4
8.9,2000,JEEP,JEEP CHEROKEE SPORT 4X4
12.4,2007,JEEP,JEEP CHEROKEE 2.8D DIESEL 4X4
10.2,2008,JEEP,JEEP CHEROKEE 2.8 CRD DIESEL 4X4
7.0,2014,JEEP,JEEP CHEROKEE 3.2L V6 AWD
9.5,2014,JEEP,JEEP CHEROKEE 2.4L AWD
10.0,2015,JEEP,JEEP CHEROKEE 2.0 JTDM-2 170 AWD
8.4,2015,JEEP,JEEP CHEROKEE 2.2 MULTIJET 200 AWD
7.1,2017,JEEP,JEEP CHEROKEE 3.2L V6 AWD
6.7,2019,JEEP,JEEP CHEROKEE 2.0T AWD
7.6,2021,JEEP,JEEP CHEROKEE TRAILHAWK V6 AWD
11.4,1975,JEEP,JEEP CJ-5 RENEGADE 4X4
11.3,1978,JEEP,JEEP CJ-7 GOLDEN EAGLE 4X4
13.7,1982,JEEP,JEEP CJ-7 LIMITED 4X4
7.5,2006,JEEP,JEEP COMMANDER LIMITED 4X4 (5.7L HEMI V8)
7.9,2009,JEEP,JEEP COMMANDER LIMITED 4X4
7.9,2010,JEEP,JEEP COMMANDER LIMITED 4X4
9.4,2007,JEEP,JEEP COMPASS LIMITED 4X4
10.6,2008,JEEP,JEEP COMPASS LIMITED CRD DIESEL
8.3,2010,JEEP,JEEP COMPASS SPORT
10.4,2011,JEEP,JEEP COMPASS 2.0L LATITUDE 4X4
9.5,2012,JEEP,JEEP COMPASS LIMITED 2.2 CRD DIESEL 4X4
9.4,2013,JEEP,JEEP COMPASS 2.4L 4X4
9.5,2016,JEEP,JEEP COMPASS 2.4L 4X4
8.4,2017,JEEP,JEEP COMPASS 2.4 SPORT 4X4
9.1,2017,JEEP,JEEP COMPASS TRAILHAWK 4X4
8.7,2018,JEEP,JEEP COMPASS LIMITED
10.4,2021,JEEP,JEEP COMPASS TRAILHAWK 4X4
7.2,2020,JEEP,JEEP GLADIATOR OVERLAND CREW CAB 4X4
7.9,2020,JEEP,JEEP GLADIATOR SPORT CREW CAB 4X4 (MANUAL)
8.2,2020,JEEP,JEEP GLADIATOR RUBICON CREW CAB 4X4
8.6,2021,JEEP,JEEP GLADIATOR MOJAVE CREW CAB 4X4
7.6,2021,JEEP,JEEP GLADIATOR SPORT CREW CAB ECODIESEL 4X4
8.6,1993,JEEP,JEEP GRAND CHEROKEE LAREDO V8
10.0,1993,JEEP,JEEP GRAND CHEROKEE LAREDO
8.2,1995,JEEP,JEEP GRAND CHEROKEE ORVIS EDITION V8
8.2,1996,JEEP,JEEP GRAND CHEROKEE LAREDO V8
6.7,1998,JEEP,JEEP GRAND CHEROKEE LIMITED 5.9L V8
7.3,1999,JEEP,JEEP GRAND CHEROKEE LIMITED V8
5.6,2000,JEEP,KENNE BELL GRAND CHEROKEE UNLIMITED V8
6.7,2002,JEEP,JEEP GRAND CHEROKEE LIMITED V8
6.6,2004,JEEP,JEEP GRAND CHEROKEE 4.7L V8
6.8,2005,JEEP,JEEP GRAND CHEROKEE LIMITED HEMI V8
7.9,2006,JEEP,JEEP GRAND CHEROKEE LAREDO V8
4.4,2006,JEEP,JEEP GRAND CHEROKEE SRT-8
7.9,2007,JEEP,JEEP GRAND CHEROKEE CRD 3.0D DIESEL
3.6,2008,JEEP,HENNESSEY GRAND CHEROKEE SRT600
7.9,2011,JEEP,JEEP GRAND CHEROKEE 3.0D DIESEL
7.4,2011,JEEP,JEEP GRAND CHEROKEE OVERLAND HEMI V8
8.3,2011,JEEP,JEEP GRAND CHEROKEE 3.6 V6
4.7,2012,JEEP,JEEP GRAND CHEROKEE SRT8
4.6,2014,JEEP,JEEP GRAND CHEROKEE SRT
7.9,2014,JEEP,JEEP GRAND CHEROKEE ECO DIESEL
6.5,2014,JEEP,JEEP GRAND CHEROKEE LIMITED HEMI V8
7.5,2014,JEEP,JEEP GRAND CHEROKEE OVERLAND
7.1,2016,JEEP,JEEP GRAND CHEROKEE SUMMIT
4.4,2017,JEEP,JEEP GRAND CHEROKEE SRT
7.4,2017,JEEP,JEEP GRAND CHEROKEE TRAILHAWK
3.4,2018,JEEP,JEEP GRAND CHEROKEE TRACKHAWK
8.0,2021,JEEP,JEEP GRAND CHEROKEE L SUMMIT RESERVE 4X4
6.2,2021,JEEP,JEEP GRAND CHEROKEE L SUMMIT RESERVE V8 4X4
7.3,2021,JEEP,JEEP GRAND CHEROKEE L LIMITED 4X4
6.1,2021,JEEP,JEEP GRAND CHEROKEE L OVERLAND V8 4X4
7.4,2022,JEEP,JEEP GRAND CHEROKEE SUMMIT RESERVE 4X4
7.7,2022,JEEP,JEEP GRAND CHEROKEE TRAILHAWK 4X4
9.4,2002,JEEP,JEEP LIBERTY LIMITED EDITION 4X4
9.6,2004,JEEP,JEEP LIBERTY LIMITED 4X4
9.8,2005,JEEP,JEEP LIBERTY SPORT DIESEL 4X4
9.4,2008,JEEP,JEEP LIBERTY RENEGADE 4X4
9.3,2008,JEEP,JEEP LIBERTY LIMITED 4X4
9.8,2012,JEEP,JEEP LIBERTY LIMITED JET
10.6,2014,JEEP,JEEP MIGHTY FC
10.6,2007,JEEP,JEEP PATRIOT CRD DIESEL
10.3,2007,JEEP,JEEP PATRIOT LIMITED 4X4
8.7,2008,JEEP,JEEP PATRIOT SPORT 4X4
9.5,2011,JEEP,JEEP PATRIOT LATITUDE 4X4
9.4,2016,JEEP,JEEP PATRIOT SPORT SE
9.6,2017,JEEP,JEEP PATRIOT SPORT 4X4
9.1,2015,JEEP,JEEP RENEGADE 2.4 TRAILHAWK 4X4
8.7,2015,JEEP,JEEP RENEGADE 1.4 SPORT 4X4
9.9,2015,JEEP,JEEP RENEGADE 1.6 MULTIJET LIMITED
8.9,2015,JEEP,JEEP RENEGADE 1.4 LATITUDE 4X4
8.8,2016,JEEP,JEEP RENEGADE 2.4 LATITUDE 4X4
9.0,2017,JEEP,JEEP RENEGADE 2.4 SPORT 4X4
10.3,2017,JEEP,JEEP RENEGADE 2.4 DESERTHAWK TRAIL RATED 4X4
8.9,2019,JEEP,JEEP RENEGADE TRAILHAWK 4X4
9.0,2019,JEEP,JEEP RENEGADE LIMITED 4X4
16.1,1963,JEEP,WILLYS JEEP WAGONEER
13.3,1990,JEEP,JEEP GRAND WAGONEER
5.4,2022,JEEP,JEEP GRAND WAGONEER SERIES II
6.7,2022,JEEP,JEEP WAGONEER SERIES II
7.6,2022,JEEP,JEEP WAGONEER SERIES III
5.7,2022,JEEP,JEEP GRAND WAGONEER SERIES III
13.9,1990,JEEP,JEEP WRANGLER ISLANDER
7.6,1997,JEEP,JEEP WRANGLER SPORT (MANUAL)
10.9,1998,JEEP,JEEP WRANGLER SE (MANUAL)
9.2,1999,JEEP,JEEP WRANGLER SPORT (MANUAL)
9.8,2003,JEEP,JEEP WRANGLER RUBICON (MANUAL)
10.4,2004,JEEP,JEEP WRANGLER UNLIMITED
10.6,2006,JEEP,JEEP WRANGLER 2.8 CRD DIESEL
10.5,2007,JEEP,JEEP WRANGLER UNLIMITED RUBICON (MANUAL)
10.7,2008,JEEP,JEEP WRANGLER UNLIMITED RUBICON
9.8,2008,JEEP,JEEP WRANGLER RUBICON
6.7,2012,JEEP,JEEP WRANGLER (MANUAL)
8.7,2012,JEEP,JEEP WRANGLER UNLIMITED RUBICON XPLORE ADVENTURE
7.7,2012,JEEP,JEEP WRANGLER
7.7,2013,JEEP,JEEP WRANGLER UNLIMITED RUBICON
7.8,2014,JEEP,JEEP WRANGLER UNLIMITED WILLYS WHEELER
6.6,2014,JEEP,JEEP WRANGLER WILLYS WHEELER (MANUAL)
8.0,2016,JEEP,JEEP WRANGLER UNLIMITED
7.5,2017,JEEP,JEEP WRANGLER SAHARA
6.8,2018,JEEP,JEEP WRANGLER UNLIMITED SAHARA
7.6,2019,JEEP,JEEP WRANGLER UNLIMITED RUBICON
6.5,2020,JEEP,JEEP WRANGLER RUBICON
7.3,2020,JEEP,JEEP WRANGLER UNLIMITED SAHARA
6.7,2020,JEEP,JEEP WRANGLER UNLIMITED SAHARA ECODIESEL
5.8,2021,JEEP,JEEP WRANGLER UNLIMITED SPORT S
4.2,2021,JEEP,JEEP WRANGLER UNLIMITED RUBICON 392
4.0,2022,JEEP,JEEP WRANGLER UNLIMITED RUBICON 392 XTREME RECON
